company_name,category,country_code,year_founded,funding_range,profile_url
&AI,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/ai
0G Foundation,AI Infrastructure,KY,2023,$10M-$50M,https://www.ai-market-watch.com/company/0g-foundation
1001,AI Infrastructure,AE,2025,$10M-$50M,https://www.ai-market-watch.com/company/company-1001
1001 AI,AI in Supply Chain / Logistics,AE,2025,$10M-$50M,https://www.ai-market-watch.com/company/1001-ai
10Beauty,Robotics / Embodied AI,US,2020,$50M-$100M,https://www.ai-market-watch.com/company/10beauty
10x Science,AI in Biotech / Drug Discovery,US,2025,$1M-$10M,https://www.ai-market-watch.com/company/10x-science
11Liter,AI in Healthcare,KR,2021,$1M-$10M,https://www.ai-market-watch.com/company/11liter
11Litre,AI in Healthcare,KR,2021,$1M-$10M,https://www.ai-market-watch.com/company/11litre
14.ai,AI Agents,US,2024,$1M-$10M,https://www.ai-market-watch.com/company/14-ai
1Buy,AI in Supply Chain / Logistics,IN,2023,$1M-$10M,https://www.ai-market-watch.com/company/1buy
1Fort,AI in Insurance,US,2022,$10M-$50M,https://www.ai-market-watch.com/company/1fort
1Kosmos,AI in Cybersecurity,US,2018,$50M-$100M,https://www.ai-market-watch.com/company/1kosmos
1Mind,AI Agents,US,2024,$10M-$50M,https://www.ai-market-watch.com/company/1mind
1Password,AI in Cybersecurity,CA,2005,$500M-$1B,https://www.ai-market-watch.com/company/1password
1X,Robotics / Embodied AI,US,2014,$100M-$500M,https://www.ai-market-watch.com/company/1x
1Z Labs,AI in Marketing,KR,2021,Undisclosed,https://www.ai-market-watch.com/company/1z-labs
21Doctors,AI in Healthcare,SA,2022,Undisclosed,https://www.ai-market-watch.com/company/21doctors
257,AI in Climate / Energy,US,2023,$1M-$10M,https://www.ai-market-watch.com/company/company-257
36ZERO Vision,Computer Vision,DE,2021,$1M-$10M,https://www.ai-market-watch.com/company/36zero-vision
3D Spark,AI in Manufacturing,DE,2020,$1M-$10M,https://www.ai-market-watch.com/company/3d-spark
4AI Systems,Computer Vision,AU,2021,Undisclosed,https://www.ai-market-watch.com/company/4ai-systems
4baseCare,AI in Healthcare,IN,2018,$10M-$50M,https://www.ai-market-watch.com/company/4basecare
600and1,AI in Biotech / Drug Discovery,US,2025,Undisclosed,https://www.ai-market-watch.com/company/600and1
7AI,AI in Cybersecurity,US,2024,$100M-$500M,https://www.ai-market-watch.com/company/7ai
7Learnings,AI in Analytics & BI,DE,2019,$10M-$50M,https://www.ai-market-watch.com/company/7learnings
8090 Labs,AI Developer Tools,US,2024,$100M-$500M,https://www.ai-market-watch.com/company/8090-labs
8090 Solutions Inc.,AI Developer Tools,US,2024,$100M-$500M,https://www.ai-market-watch.com/company/8090-solutions-inc
8fig,AI in Fintech,US,2020,$100M-$500M,https://www.ai-market-watch.com/company/8fig
9fin,AI in Fintech,GB,2016,$100M-$500M,https://www.ai-market-watch.com/company/9fin
A-Robot,Robotics / Embodied AI,KR,2018,$10M-$50M,https://www.ai-market-watch.com/company/a-robot
